Strain	Passage	Abundance	Rep
Lapi	1	8.491361694	1
Lapi	1	8.668385917	2
Lapi	1	8.418301291	3
Lhel	1	8.750508395	1
Lhel	1	8.894316063	2
Lhel	1	8.670245853	3
Lmel	1	7.937517892	1
Lmel	1	8.08278537	2
Lmel	1	7.825426118	3
Lkul	1	7.986771734	1
Lkul	1	8.11058971	2
Lkul	1	7.859138297	3
Lapi	3	8.33243846	1
Lapi	3	8.551449998	2
Lapi	3	8.545307116	3
Lhel	3	8.888740961	1
Lhel	3	8.934498451	2
Lhel	3	8.952792443	3
Lmel	3	7.328379603	1
Lmel	3	7.212187604	2
Lmel	3	7.257678575	3
Lkul	3	7.677606953	1
Lkul	3	7.611723308	2
Lkul	3	7.562292864	3
Lapi	5	8.606381365	1
Lapi	5	8.583198774	2
Lapi	5	8.786751422	3
Lhel	5	8.821513528	1
Lhel	5	8.745855195	2
Lhel	5	8.86923172	3
Lmel	5	6.404833717	1
Lmel	5	6.46686762	2
Lmel	5	6.487138375	3
Lkul	5	7.301029996	1
Lkul	5	7.220108088	2
Lkul	5	7.367355921	3
Lapi	7	9.225309282	1
Lapi	7	8.722633923	2
Lapi	7	8.794488047	3
Lhel	7	8.534026106	1
Lhel	7	8.136720567	2
Lhel	7	8.029383778	3
Lmel	7	6.017033339	1
Lmel	7	5.603144373	2
Lmel	7	5.534026106	3
Lkul	7	6.875061263	1
Lkul	7	6.501059262	2
Lkul	7	6.459392488	3
Lapi	9	9.012837225	1
Lapi	9	8.812913357	2
Lapi	9	8.252853031	3
Lhel	9	7.551449998	1
Lhel	9	7.401400541	2
Lhel	9	6.303196057	3
Lmel	9	4.294466226	1
Lmel	9	4.918030337	2
Lmel	9	3.53529412	3
Lkul	9	5.617000341	1
Lkul	9	5.725911632	2
Lkul	9	4.739572344	3
Lapi	11	8.830588669	1
Lapi	11	8.217483944	2
Lapi	11	8.733999287	3
Lhel	11	6.597695186	1
Lhel	11	6	2
Lhel	11	5.522444234	3
Lmel	11	4.136720567	1
Lmel	11	4.093421685	2
Lmel	11	4.99343623	3
Lkul	11	5.178976947	1
Lkul	11	4.338456494	2
Lkul	11	4.692846919	3
Lapi	13	8.940516485	1
Lapi	13	8.745074792	2
Lapi	13	8.729974286	3
Lhel	13	5.709269961	1
Lhel	13	6.330413773	2
Lhel	13	5.247973266	3
Lmel	13	4.23299611	1
Lmel	13	4.193124598	2
Lmel	13	4.017033339	3
Lkul	13	4.23299611	1
Lkul	13	4.494154594	2
Lkul	13	4.017033339	3
Lapi	15	8.372912003	1
Lapi	15	9.089905111	2
Lapi	15	8.814913181	3
Lhel	15	4.966610987	1
Lhel	15	6.893761762	2
Lhel	15	4.996949248	3
Lmel	15	3.852479994	1
Lmel	15	4.385606274	2
Lmel	15	4.220108088	3
Lkul	15	3.852479994	1
Lkul	15	4.385606274	2
Lkul	15	4.217483944	3
Lapi	17	8.903632516	1
Lapi	17	8.912753304	2
Lapi	17	9.045322979	3
Lhel	17	5.093421685	1
Lhel	17	6.64738297	2
Lhel	17	4.954242509	3
Lmel	17	4.392696953	1
Lmel	17	4.322219295	2
Lmel	17	4.352182518	3
Lkul	17	4.392696953	1
Lkul	17	4.624282096	2
Lkul	17	4.352182518	3
Lapi	19	9.283301229	1
Lapi	19	9.096910013	2
Lapi	19	8.875639937	3
Lhel	19	4.701567985	1
Lhel	19	6.212187604	2
Lhel	19	5.465382851	3
Lmel	19	4.701567985	1
Lmel	19	4.442479769	2
Lmel	19	4.260071388	3
Lkul	19	6.164352856	1
Lkul	19	4.442479769	2
Lkul	19	4.260071388	3
Lapi	21	9.269512944	1
Lapi	21	8.95230801	2
Lapi	21	8.718501689	3
Lhel	21	5.434568904	1
Lhel	21	6.810904281	2
Lhel	21	4.691081492	3
Lmel	21	4.7355989	1
Lmel	21	4.717670503	2
Lmel	21	3.992995098	3
Lkul	21	4.7355989	1
Lkul	21	4.416640507	2
Lkul	21	4.837588438	3
