Strain	Passage	Abundance	Rep
Lapi	1	8.63E+00	1
Lapi	1	8.31E+00	2
Lapi	1	8.07E+00	3
Lhel	1	8.45E+00	1
Lhel	1	8.14E+00	2
Lhel	1	7.91E+00	3
Lmel	1	7.71E+00	1
Lmel	1	7.35E+00	2
Lmel	1	7.34E+00	3
Lkul	1	7.79E+00	1
Lkul	1	7.51E+00	2
Lkul	1	7.31E+00	3
Lapi	3	8.82E+00	1
Lapi	3	9.03E+00	2
Lapi	3	8.96E+00	3
Lhel	3	8.47E+00	1
Lhel	3	8.74E+00	2
Lhel	3	8.75E+00	3
Lmel	3	6.99E+00	1
Lmel	3	7.25E+00	2
Lmel	3	7.25E+00	3
Lkul	3	7.69E+00	1
Lkul	3	7.90E+00	2
Lkul	3	7.85E+00	3
Lapi	5	9.13E+00	1
Lapi	5	9.38E+00	2
Lapi	5	9.32E+00	3
Lhel	5	8.35E+00	1
Lhel	5	8.63E+00	2
Lhel	5	8.46E+00	3
Lmel	5	7.01E+00	1
Lmel	5	7.26E+00	2
Lmel	5	6.95E+00	3
Lkul	5	7.65E+00	1
Lkul	5	8.03E+00	2
Lkul	5	7.92E+00	3
Lapi	7	8.99E+00	1
Lapi	7	8.90E+00	2
Lapi	7	8.65E+00	3
Lhel	7	7.99E+00	1
Lhel	7	7.92E+00	2
Lhel	7	7.61E+00	3
Lmel	7	6.93E+00	1
Lmel	7	6.94E+00	2
Lmel	7	6.49E+00	3
Lkul	7	7.82E+00	1
Lkul	7	7.86E+00	2
Lkul	7	7.69E+00	3
Lapi	9	8.86E+00	1
Lapi	9	9.10E+00	2
Lapi	9	8.70E+00	3
Lhel	9	7.79E+00	1
Lhel	9	7.85E+00	2
Lhel	9	7.51E+00	3
Lmel	9	6.56E+00	1
Lmel	9	6.69E+00	2
Lmel	9	6.15E+00	3
Lkul	9	7.47E+00	1
Lkul	9	7.80E+00	2
Lkul	9	7.43E+00	3
Lapi	11	8.97E+00	1
Lapi	11	9.01E+00	2
Lapi	11	9.08E+00	3
Lhel	11	8.36E+00	1
Lhel	11	7.75E+00	2
Lhel	11	8.18E+00	3
Lmel	11	6.73E+00	1
Lmel	11	6.63E+00	2
Lmel	11	6.81E+00	3
Lkul	11	7.50E+00	1
Lkul	11	7.72E+00	2
Lkul	11	7.94E+00	3
Lapi	13	8.54E+00	1
Lapi	13	9.03E+00	2
Lapi	13	8.70E+00	3
Lhel	13	8.74E+00	1
Lhel	13	8.69E+00	2
Lhel	13	8.32E+00	3
Lmel	13	6.53E+00	1
Lmel	13	6.72E+00	2
Lmel	13	6.17E+00	3
Lkul	13	7.36E+00	1
Lkul	13	8.14E+00	2
Lkul	13	7.67E+00	3
Lapi	15	7.83E+00	1
Lapi	15	8.80E+00	2
Lapi	15	9.10E+00	3
Lhel	15	8.30E+00	1
Lhel	15	8.51E+00	2
Lhel	15	8.55E+00	3
Lmel	15	6.12E+00	1
Lmel	15	6.77E+00	2
Lmel	15	6.53E+00	3
Lkul	15	6.68E+00	1
Lkul	15	7.95E+00	2
Lkul	15	7.85E+00	3
Lapi	17	8.44E+00	1
Lapi	17	9.13E+00	2
Lapi	17	8.82E+00	3
Lhel	17	8.74E+00	1
Lhel	17	8.37E+00	2
Lhel	17	8.56E+00	3
Lmel	17	5.99E+00	1
Lmel	17	4.56E+00	2
Lmel	17	6.13E+00	3
Lkul	17	7.11E+00	1
Lkul	17	7.39E+00	2
Lkul	17	7.51E+00	3
Lapi	19	8.94E+00	1
Lapi	19	8.71E+00	2
Lapi	19	8.96E+00	3
Lhel	19	8.68E+00	1
Lhel	19	8.37E+00	2
Lhel	19	8.55E+00	3
Lmel	19	6.11E+00	1
Lmel	19	6.25E+00	2
Lmel	19	6.09E+00	3
Lkul	19	7.54E+00	1
Lkul	19	7.61E+00	2
Lkul	19	7.72E+00	3
Lapi	21	8.91E+00	1
Lapi	21	9.07E+00	2
Lapi	21	8.99E+00	3
Lhel	21	8.97E+00	1
Lhel	21	8.77E+00	2
Lhel	21	8.76E+00	3
Lmel	21	6.38E+00	1
Lmel	21	6.56E+00	2
Lmel	21	6.41E+00	3
Lkul	21	7.98E+00	1
Lkul	21	8.02E+00	2
Lkul	21	7.73E+00	3
