Strain	Passage	Abundance	Rep
Lapi	1	8.546542663	1
Lapi	1	8.57863921	2
Lapi	1	8.740362689	3
Lhel	1	8.136720567	1
Lhel	1	8.11058971	2
Lhel	1	8.31386722	3
Lmel	1	7.893761762	1
Lmel	1	7.847572659	2
Lmel	1	8.045322979	3
Lkul	1	8.008600172	1
Lkul	1	8.033423755	2
Lkul	1	8.187520721	3
Lapi	3	8.596597096	1
Lapi	3	8.482873584	2
Lapi	3	8.598790507	3
Lhel	3	6.285557309	1
Lhel	3	6.068185862	2
Lhel	3	6.352182518	3
Lmel	3	7.181843588	1
Lmel	3	7.079181246	2
Lmel	3	7.245512668	3
Lkul	3	8.004321374	1
Lkul	3	7.936513742	2
Lkul	3	8.161368002	3
Lapi	5	8.525044807	1
Lapi	5	8.591064607	2
Lapi	5	8.495544338	3
Lhel	5	7.127104798	1
Lhel	5	7.164352856	2
Lhel	5	7.086359831	3
Lmel	5	7.004321374	1
Lmel	5	7.11058971	2
Lmel	5	6.290034611	3
Lkul	5	7.99343623	1
Lkul	5	8.158362492	2
Lkul	5	7.953276337	3
Lapi	7	8.778874472	1
Lapi	7	8.80140371	2
Lapi	7	8.803457116	3
Lhel	7	7.929418926	1
Lhel	7	7.907411361	2
Lhel	7	7.840106094	3
Lmel	7	7.354108439	1
Lmel	7	7.382017043	2
Lmel	7	7.324282455	3
Lkul	7	8.1430148	1
Lkul	7	8.204119983	2
Lkul	7	8.247973266	3
Lapi	9	8.63447727	1
Lapi	9	8.450249108	2
Lapi	9	8.523746467	3
Lhel	9	8.170261715	1
Lhel	9	7.934498451	2
Lhel	9	7.989004616	3
Lmel	9	7.278753601	1
Lmel	9	7.149219113	2
Lmel	9	7.311753861	3
Lkul	9	7.954724791	1
Lkul	9	7.785329835	2
Lkul	9	7.911157609	3
Lapi	11	8.62838893	1
Lapi	11	9.071882007	2
Lapi	11	8.681241237	3
Lhel	11	8.225309282	1
Lhel	11	8.579783597	2
Lhel	11	8.558708571	3
Lmel	11	7.534026106	1
Lmel	11	7.720159303	2
Lmel	11	7.46834733	3
Lkul	11	8.004321374	1
Lkul	11	8.255272505	2
Lkul	11	7.820201459	3
Lapi	13	8.831229694	1
Lapi	13	8.612783857	2
Lapi	13	8.824125834	3
Lhel	13	8.685741739	1
Lhel	13	8.285557309	2
Lhel	13	8.559906625	3
Lmel	13	7.359835482	1
Lmel	13	7.071882007	2
Lmel	13	7.394451681	3
Lkul	13	7.477121255	1
Lkul	13	7.1430148	2
Lkul	13	7.562292864	3
Lapi	15	8.50242712	1
Lapi	15	8.485721426	2
Lapi	15	8.658011397	3
Lhel	15	8.336459734	1
Lhel	15	8.045322979	2
Lhel	15	7.923244019	3
Lmel	15	7.161368002	1
Lmel	15	6.889861721	2
Lmel	15	6.526339277	3
Lkul	15	7.079181246	1
Lkul	15	7.017033339	2
Lkul	15	7.198657087	3
Lapi	17	8.575187845	1
Lapi	17	8.201397124	2
Lapi	17	8.206825876	3
Lhel	17	7.606381365	1
Lhel	17	8.025305865	2
Lhel	17	7.643452676	3
Lmel	17	6.120573931	1
Lmel	17	6.77815125	2
Lmel	17	6.846337112	3
Lkul	17	6.91750551	1
Lkul	17	6.786751422	2
Lkul	17	6.896526217	3
Lapi	19	8.396199347	1
Lapi	19	8.488550717	2
Lapi	19	8.667452953	3
Lhel	19	8.477121255	1
Lhel	19	8.638489257	2
Lhel	19	8.008600172	3
Lmel	19	7.536558443	1
Lmel	19	7.176091259	2
Lmel	19	7.004321374	3
Lkul	19	7.173186268	1
Lkul	19	7.123851641	2
Lkul	19	7.574031268	3
Lapi	21	8.181843588	1
Lapi	21	8.378397901	2
Lapi	21	8.568201724	3
Lhel	21	8.51054501	1
Lhel	21	8.556302501	2
Lhel	21	8.385606274	3
Lmel	21	7.117271296	1
Lmel	21	7.294466226	2
Lmel	21	7.558708571	3
Lkul	21	6.764922985	1
Lkul	21	7.250420002	2
Lkul	21	7.387389826	3
