Strain	Condition	 Value 
Lapi	G	 8.9405 
Lapi	G	 8.7451 
Lapi	G	 8.7300 
Lapi	G	 8.3729 
Lapi	G	 9.0899 
Lapi	G	 8.8149 
Lapi	G	 8.9036 
Lapi	G	 8.9128 
Lapi	G	 9.0453 
Lapi	G	 9.2833 
Lapi	G	 9.0969 
Lapi	G	 8.8756 
Lapi	G	 9.2695 
Lapi	G	 8.9523 
Lapi	G	 8.7185 
Lapi	PE	 8.5400 
Lapi	PE	 9.0300 
Lapi	PE	 8.7000 
Lapi	PE	 7.8300 
Lapi	PE	 8.8000 
Lapi	PE	 9.1000 
Lapi	PE	 8.4400 
Lapi	PE	 9.1300 
Lapi	PE	 8.8200 
Lapi	PE	 8.9400 
Lapi	PE	 8.7100 
Lapi	PE	 8.9600 
Lapi	PE	 8.9100 
Lapi	PE	 9.0700 
Lapi	PE	 8.9900 
Lapi	PG	 8.8312 
Lapi	PG	 8.6128 
Lapi	PG	 8.8241 
Lapi	PG	 8.5024 
Lapi	PG	 8.4857 
Lapi	PG	 8.6580 
Lapi	PG	 8.5752 
Lapi	PG	 8.2014 
Lapi	PG	 8.2068 
Lapi	PG	 8.3962 
Lapi	PG	 8.4886 
Lapi	PG	 8.6675 
Lapi	PG	 8.1818 
Lapi	PG	 8.3784 
Lapi	PG	 8.5682 
Lhel	G	 5.7093 
Lhel	G	 6.3304 
Lhel	G	 5.2480 
Lhel	G	 4.9666 
Lhel	G	 6.8938 
Lhel	G	 4.9969 
Lhel	G	 5.0934 
Lhel	G	 6.6474 
Lhel	G	 4.9542 
Lhel	G	 4.7016 
Lhel	G	 6.2122 
Lhel	G	 5.4654 
Lhel	G	 5.4346 
Lhel	G	 6.8109 
Lhel	G	 4.6911 
Lhel	PE	 8.7400 
Lhel	PE	 8.6900 
Lhel	PE	 8.3200 
Lhel	PE	 8.3000 
Lhel	PE	 8.5100 
Lhel	PE	 8.5500 
Lhel	PE	 8.7400 
Lhel	PE	 8.3700 
Lhel	PE	 8.5600 
Lhel	PE	 8.6800 
Lhel	PE	 8.3700 
Lhel	PE	 8.5500 
Lhel	PE	 8.9700 
Lhel	PE	 8.7700 
Lhel	PE	 8.7600 
Lhel	PG	 8.6857 
Lhel	PG	 8.2856 
Lhel	PG	 8.5599 
Lhel	PG	 8.3365 
Lhel	PG	 8.0453 
Lhel	PG	 7.9232 
Lhel	PG	 7.6064 
Lhel	PG	 8.0253 
Lhel	PG	 7.6435 
Lhel	PG	 8.4771 
Lhel	PG	 8.6385 
Lhel	PG	 8.0086 
Lhel	PG	 8.5105 
Lhel	PG	 8.5563 
Lhel	PG	 8.3856 
Lmel	G	 4.2330 
Lmel	G	 4.1931 
Lmel	G	 4.0170 
Lmel	G	 3.8525 
Lmel	G	 4.3856 
Lmel	G	 4.2201 
Lmel	G	 4.3927 
Lmel	G	 4.3222 
Lmel	G	 4.3522 
Lmel	G	 4.7016 
Lmel	G	 4.4425 
Lmel	G	 4.2601 
Lmel	G	 4.7356 
Lmel	G	 4.7177 
Lmel	G	 3.9930 
Lmel	PE	 6.5300 
Lmel	PE	 6.7200 
Lmel	PE	 6.1700 
Lmel	PE	 6.1200 
Lmel	PE	 6.7700 
Lmel	PE	 6.5300 
Lmel	PE	 5.9900 
Lmel	PE	 4.5600 
Lmel	PE	 6.1300 
Lmel	PE	 6.1100 
Lmel	PE	 6.2500 
Lmel	PE	 6.0900 
Lmel	PE	 6.3800 
Lmel	PE	 6.5600 
Lmel	PE	 6.4100 
Lmel	PG	 7.3598 
Lmel	PG	 7.0719 
Lmel	PG	 7.3945 
Lmel	PG	 7.1614 
Lmel	PG	 6.8899 
Lmel	PG	 6.5263 
Lmel	PG	 6.1206 
Lmel	PG	 6.7782 
Lmel	PG	 6.8463 
Lmel	PG	 7.5366 
Lmel	PG	 7.1761 
Lmel	PG	 7.0043 
Lmel	PG	 7.1173 
Lmel	PG	 7.2945 
Lmel	PG	 7.5587 
Lkul	G	 4.2330 
Lkul	G	 4.4942 
Lkul	G	 4.0170 
Lkul	G	 3.8525 
Lkul	G	 4.3856 
Lkul	G	 4.2175 
Lkul	G	 4.3927 
Lkul	G	 4.6243 
Lkul	G	 4.3522 
Lkul	G	 6.1644 
Lkul	G	 4.4425 
Lkul	G	 4.2601 
Lkul	G	 4.7356 
Lkul	G	 4.4166 
Lkul	G	 4.8376 
Lkul	PE	 7.3600 
Lkul	PE	 8.1400 
Lkul	PE	 7.6700 
Lkul	PE	 6.6800 
Lkul	PE	 7.9500 
Lkul	PE	 7.8500 
Lkul	PE	 7.1100 
Lkul	PE	 7.3900 
Lkul	PE	 7.5100 
Lkul	PE	 7.5400 
Lkul	PE	 7.6100 
Lkul	PE	 7.7200 
Lkul	PE	 7.9800 
Lkul	PE	 8.0200 
Lkul	PE	 7.7300 
Lkul	PG	 7.4771 
Lkul	PG	 7.1430 
Lkul	PG	 7.5623 
Lkul	PG	 7.0792 
Lkul	PG	 7.0170 
Lkul	PG	 7.1987 
Lkul	PG	 6.9175 
Lkul	PG	 6.7868 
Lkul	PG	 6.8965 
Lkul	PG	 7.1732 
Lkul	PG	 7.1239 
Lkul	PG	 7.5740 
Lkul	PG	 6.7649 
Lkul	PG	 7.2504 
Lkul	PG	 7.3874 
