Sample	Group	"Lactic_Acid,_2TMS_derivative"	"L-Alanine,_2TMS_derivative"	1-(Trimethylsilyl)-3-[(trimethylsilyl)oxy]urea	"3-Methyl-2-butenoic_acid,_morpholide"	"Silanol,_trimethyl-,_carbonate_(2:1)"	"Pentasiloxane,_dodecamethyl-"	"1,4-Butanediol,_2TMS_derivative"	Creatinine	"Ethanol,_2-(methylamino)-,_N-trifluoroacetyl,_O-(tert-butyldimethylsilyl)"	"L-Valine,_2TMS_derivative"	"Ethylphosphonic_acid,_2TMS_derivative"	"Pentanoic_acid,_3-methyl-2-[(trimethylsilyl)oxy]-,_trimethylsilyl_ester"	"Benzoic_Acid,_TMS_derivative"	"L-Isoleucine,_2TMS_derivative"	"L-Proline,_2TMS_derivative"	"Glycine,_3TMS_derivative"	"Butanedioic_acid,_2TMS_derivative"	"L-Leucine,_2TMS_derivative"	"Glyceric_acid,_3TMS_derivative"	"Uracil,_2TMS_derivative"	"Serine,_3TMS_derivative"	"8,10-Dioxaheptadecane"	Unknown_7_02	"Pipecolic_acid,_2TMS_derivative"	"L-Threonine,_3TMS_derivative"	"3-Methylpiperazine-2,5-dione,_(R)-,_2TMS_derivative"	"Pyrimidine,_5-methyl-2,4-bis[(trimethylsilyl)oxy]-"	"Butanoic_acid,_2,4-bis[(trimethylsilyl)oxy]-,_trimethylsilyl_ester"	".beta.-Alanine,_3TMS_derivative"	"3-Amino-2-piperidone,_2TMS_derivative"	Unknown_9_81	"Malic_acid,_3TMS_derivative"	"Erythritol_2,_4TMS_derivative"	"Tromethamine,_4TMS_derivative"	"Pyroglutamic_acid,_TMS_derivative"	"L-Aspartic_acid,_3TMS_derivative"	"L-Methionine,_2TMS_derivative"	"L-5-Oxoproline,_,_2TMS_derivative"	"4-Pyrimidinamine,_N-(trimethylsilyl)-2-[(trimethylsilyl)oxy]-"	"4-Aminobutanoic_acid,_3TMS_derivative"	"L-Hydroxyproline,_(E)-,_3TMS_derivative_2"	"DL-Phenylalanine,_TMS_derivative"	"2,3,4-Trihydroxybutyric_acid_tetrakis(trimethylsilyl)_deriv.,_(,_(R*,R*)-)_2"	"Pentanedioic_acid_3,_2-[(trimethylsilyl)oxy]-,_bis(trimethylsilyl)_ester"	"2-Aminoadipic_acid,_3TMS_derivative"	"3-Phenyllactic_acid,_2TMS_derivative"	"2-Aminooctanoic_acid,_2TMS_derivative"	"L-Glutamic_acid,_3TMS_derivative"	"L-Phenylalanine,_2TMS_derivative"	"2-Aminoheptanedioic_acid,_3TMS_derivative"	"d-Ribose,_2,3,4,5-tetrakis-O-(trimethylsilyl)-,_O-methyloxime_1"	Unknown_15_17	"Asparagine,_3TMS_derivative"	"d-Ribose,_2,3,4,5-tetrakis-O-(trimethylsilyl)-,_O-methyloxime_2"	"Xylitol,_5TMS_derivative"	"Putrescine,_4TMS_derivative"	"5(10H)-Pyrido[3,4-b]quinolone,_7-methoxy-"	"Phosphoric_acid,_bis(trimethylsilyl)_2,3-bis[(trimethylsilyl)oxy]propyl_ester"	"Myo-Inositol,_6TMS_derivative_isomer_1"	"Terephthalic_acid,_2TMS_derivative"	"D-Pinitol,_pentakis(trimethylsilyl)_ether"	"9H-Purin-6-ol,_2TMS_derivative"	"L-Ornithine,_4TMS_derivative"	"Citric_acid,_4TMS_derivative"	Unknown_19_62	"D-Fructose,_1,3,4,5,6-pentakis-O-(trimethylsilyl)-,_O-methyloxime_-_isomer_2"	"Adenine,_2TMS_derivative"	"D-(-)-Fructose,_pentakis(trimethylsilyl)_ether,_methyloxime_(syn)"	"d-Mannose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)-"	"D-(+)-Gluconolactone,_4TMS_derivative"	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)_13C"	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)-"	"4-Hydroxyphenyllactic_acid,_3TMS_derivative"	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1E)-_13C"	"D-Allose,_pentakis(trimethylsilyl)_ether,_methyloxime_(anti)"	"Cadaverine,_4TMS_derivative"	"L-Lysine,_4TMS_derivative"	"D-Glucitol,_6TMS_derivative"	"L-Tyrosine,_3TMS_derivative"	"1,2,3,4,5,6-Hexa-O-trimethelsilyl-myo-inositol"	"D-Gluconic_acid,_6TMS_derivative"	"Muco-Inositol,_6TMS_derivative"	Unknown_22_95	"Glucose,_5TMS_derivative_13C"	"Glucose,_5TMS_derivative"	"Palmitic_Acid,_TMS_derivative"	"Myo-Inositol,_6TMS_derivative_isomer_2"	"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine"	"Indole-3-lactic_acid,_3TMS_derivative"	"L-Tryptophan,_3TMS_derivative"	"Oleic_Acid,_(Z)-,_TMS_derivative"	Sugar_phosphate_26_68	"Stearic_acid,_TMS_derivative"	"Tranexamic_acid,_3TMS_derivative"	"6-(2-Aminophenyl)-1,2,4-triazine-3,5(2H,4H)-dione_tetratms"	"Xanthine,_3TMS_derivative"	"D-Glycero-D-gulo-Heptose,_2,3,4,5,6,7-hexakis-O-(trimethylsilyl)-,_O-methyloxime_2"	"Uridine,_3TMS_derivative"	"Inosine,_4TMS_derivative"	"Sucrose,_8TMS_derivative"	"Adenosine,_4TMS_derivative"	Unknown_30_30	"Maltose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	"Lactose,_8TMS_derivative"	"D-(+)-Turanose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_2)"	"Guanosine,_5TMS_derivative"	"2-.alpha.-Mannobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	".beta.-Gentiobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	"D-(+)-Cellobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	L_Norvaline
183_T0_1	183_T0	210456	645015	44766	1185	31290	44361	31888	72	57738	529169	73	109	990	457805	741919	284941	61809	7685701	3004	4326	181236	25483	8488	10387	64175	18618	295	2673	479	838	1203	2070	1267	3274	6725	121769	84567	444852	166	19907	5099	1402	1091	710	3433	193	2217	376223	307311	3551	1287	2976	2958	747	4897	3433	25527	3591	10241	4998	11202	3211	398	11476	13460	1350756	5530	998595	24419	27600	473001	2000116	55	93965	403314	12494	31197	27251	189451	29153	156175	4008	1132	14034	42721	13147	57230	1058	51	72513	1305	297	15445	14329	2729	3190	132	2731	4381	25141	11997	3273	75987	895261	6754	7603	15633	6395	2569	6320126
183_T0_2	183_T0	191833	433519	42388	1287	21655	32408	28439	48	54001	386530	55	130	959	327692	438625	201881	39399	6143645	1948	2592	116627	25924	2267	6065	41533	10274	237	1613	255	629	313	1069	619	1790	2978	74996	56090	257950	32	11844	1547	920	518	396	1166	266	477	236615	217003	1193	829	4133	1736	383	2475	2630	11838	1542	4933	7518	5621	1363	198	5161	7311	812810	2332	587102	13642	15406	337831	1215800	88	59983	219981	6517	19203	14556	107276	16259	81278	2281	556	4874	12913	11112	32990	457	36	28067	876	118	12957	5268	1207	741	102	1631	1832	11226	4083	1587	32355	587169	1639	2378	6266	2040	12	5127112
183_T0_3	183_T0	253797	739157	49811	1367	24047	30643	34939	170	59875	540359	63	162	1173	422843	710746	311627	67002	6953966	2482	4363	178085	30175	10028	9994	62503	16488	371	2471	481	791	1037	1784	911	2140	10188	107099	74410	438450	186	21949	4619	1422	670	619	3164	504	2214	364666	285751	3319	1491	2292	2521	1139	3785	3314	24317	2800	8383	4006	9307	3041	251	9184	12883	1243729	5434	877518	11691	21481	443417	1767362	175	81027	329054	14118	33341	21155	181055	22613	116077	3164	961	14062	40758	13004	48550	958	89	51424	1390	352	14366	12228	1844	1831	178	2302	3717	15520	9859	3264	805318	805970	5331	5544	10816	3862	1317	5986340
183_T0_4	183_T0	263802	894459	60218	1444	28663	40066	33775	278	57739	634462	74	175	1332	511100	916716	484868	85849	8111896	3575	6171	281269	29833	43943	13116	96592	24961	768	3563	351	1587	3419	2826	1301	3522	14486	195876	99474	693360	286	30294	21621	2737	1151	981	10516	734	8419	500283	360244	10966	2281	4327	7763	1868	6020	6050	41192	7892	12435	6889	13272	5504	890	15276	19733	1653795	8731	1172016	17713	32043	599052	2320913	211	115829	464007	20730	89217	31870	266405	34103	178173	5216	1650	26900	77312	15918	76333	1813	54	93256	1963	1018	18475	25416	4630	5697	299	4218	7068	34385	19412	3877	1138938	1145883	10732	12066	19818	8907	3071	6727806
183_T0_5	183_T0	212412	573604	46207	1480	28425	40935	30347	64	54436	484877	56	158	1073	417775	599096	257203	51438	7340261	2658	3842	159570	26517	10842	8716	56639	15940	361	2184	413	773	1507	1730	998	2657	4830	105659	76435	401413	177	16516	6751	1282	805	630	4587	465	2651	323909	279476	5121	1258	5666	2493	592	3391	3191	21849	2773	7740	5768	8245	2754	319	8639	11323	1074493	4095	793686	20772	21098	422414	1603225	107	81381	313692	10698	27661	20954	163834	22746	119520	3153	904	12433	35476	13108	47068	1039	85	58039	1410	235	15615	11613	2276	2157	40	2390	3681	27295	9147	2400	58162	797882	4479	5650	10739	4207	101	5889914
183_T16_1	183_T16	3231942	758649	47231	1135	16353	23733	30054	38	53653	562258	1326	2109	962	451789	707397	404764	85887	7262284	3791	18346	156362	26463	16549	9606	65361	19079	1144	2712	480	745	2445	1093	977	3137	8603	100139	77180	520170	6891	23602	8111	1146	890	1876	5559	32151	4485	383692	251333	5706	1420	3912	1760	5572	3754	2640	25945	3949	7292	4800	8176	12928	346	4441	14341	1192	18952	558	766	17645	467532	78862	11589	73775	12495	11713	30348	6703	156119	20948	109518	3042	1104	8782	1347	12308	47915	14772	2973	63700	1156	239	14968	10982	2136	1960	84	90	70	14019	165	2333	57074	834087	2750	215	7814	3622	1926	6043521
183_T16_2	183_T16	4061807	1092971	61652	1283	24751	35758	32962	85	57278	737163	1961	2924	1314	582882	1045911	688524	132611	8713859	4941	28018	261553	28169	47567	14560	104527	29170	1715	4090	816	1615	4667	1658	1272	3838	18039	177615	104173	828985	10439	35886	21392	2290	1149	2993	12050	50059	11401	558793	336691	12711	2569	4739	6221	15224	5751	4800	47743	9614	11500	8118	12732	22579	994	7854	24442	327	35179	440	851	25855	710396	147314	19378	114559	23142	22023	83952	11179	243488	30925	167434	4890	2041	18169	3449	14581	77175	29978	4827	96744	1780	815	17661	24735	4773	5313	292	309	246	25617	447	4862	83754	1149047	3965	209	14877	7355	43	7164563
183_T16_3	183_T16	2813190	630675	41956	1262	14469	20677	30850	34	55268	489217	984	1715	842	395660	581556	344938	70495	6672328	2919	14570	129183	25125	16346	7778	54218	15052	870	2071	327	604	2132	784	780	2255	5230	81593	65696	431486	5537	18753	8035	881	619	1331	4921	24975	3777	304103	220194	5203	1126	1300	1331	4049	2965	2371	19933	2795	5856	3526	6691	9524	297	3401	10096	382	14858	311	547	13571	378129	92133	8827	56428	13884	8950	25950	6052	124025	17093	85807	2372	908	6779	1570	10616	37962	10506	2130	47358	1047	143	12899	6746	1336	1302	12	65	100	10407	118	1752	37054	688821	3322	82	5828	2546	2228	5392220
183_T16_4	183_T16	2685827	599711	44130	1338	14356	21269	30338	37	53917	474049	989	1572	859	387039	547496	325998	414513	6120128	2809	14054	122067	25848	16526	7341	51373	14515	833	1980	366	597	2463	754	753	2294	4615	75773	64002	400534	5284	17863	7843	1101	646	1328	5761	23640	4735	284614	210243	6219	1138	4580	1319	4199	2891	2549	18517	2674	5558	3917	6279	8830	221	2974	8614	1131	13524	1242	1715	13329	342213	159625	8015	52221	23824	8652	23316	5666	115630	16043	80550	2298	848	6545	2724	11079	37058	9629	1959	43209	1108	159	13451	6808	1353	1044	12	45	73	9655	134	1459	39838	655819	3131	12	5475	2427	1492	5094765
183_T16_5	183_T16	4081184	1080926	50237	1458	26352	34457	35228	14	58582	702903	1314	2450	1230	561861	966379	628612	115780	8912823	3800	20232	216996	29807	6762	12305	86454	20654	1208	3078	539	1379	653	1155	931	2790	16449	143474	95330	632738	8005	30191	3043	1215	763	2085	1786	38032	1733	504462	293829	1851	1533	5542	4957	10857	4176	3957	32422	4647	9031	7848	10004	14622	553	5991	17099	157	22784	346	12	19429	555773	9402	15267	83799	1354	15886	60092	7555	186096	24578	127610	3625	1158	7075	159	11811	59296	14478	3124	56416	1098	363	13909	15486	2086	2360	234	364	134	12586	213	2390	922039	921096	2699	30	8771	3307	12	7456059
