Sample	Group	"Lactic_Acid,_2TMS_derivative"	"L-Alanine,_2TMS_derivative"	1-(Trimethylsilyl)-3-[(trimethylsilyl)oxy]urea	"3-Methyl-2-butenoic_acid,_morpholide"	"Silanol,_trimethyl-,_carbonate_(2:1)"	"Pentasiloxane,_dodecamethyl-"	"1,4-Butanediol,_2TMS_derivative"	Creatinine	"Ethanol,_2-(methylamino)-,_N-trifluoroacetyl,_O-(tert-butyldimethylsilyl)"	"L-Valine,_2TMS_derivative"	"Ethylphosphonic_acid,_2TMS_derivative"	"Pentanoic_acid,_3-methyl-2-[(trimethylsilyl)oxy]-,_trimethylsilyl_ester"	"Benzoic_Acid,_TMS_derivative"	"L-Isoleucine,_2TMS_derivative"	"L-Proline,_2TMS_derivative"	"Glycine,_3TMS_derivative"	"Butanedioic_acid,_2TMS_derivative"	"L-Leucine,_2TMS_derivative"	"Glyceric_acid,_3TMS_derivative"	"Uracil,_2TMS_derivative"	"Serine,_3TMS_derivative"	"8,10-Dioxaheptadecane"	Unknown_7_02	"Pipecolic_acid,_2TMS_derivative"	"L-Threonine,_3TMS_derivative"	"3-Methylpiperazine-2,5-dione,_(R)-,_2TMS_derivative"	"Pyrimidine,_5-methyl-2,4-bis[(trimethylsilyl)oxy]-"	"Butanoic_acid,_2,4-bis[(trimethylsilyl)oxy]-,_trimethylsilyl_ester"	".beta.-Alanine,_3TMS_derivative"	"3-Amino-2-piperidone,_2TMS_derivative"	Unknown_9_81	"Malic_acid,_3TMS_derivative"	"Erythritol_2,_4TMS_derivative"	"Tromethamine,_4TMS_derivative"	"Pyroglutamic_acid,_TMS_derivative"	"L-Aspartic_acid,_3TMS_derivative"	"L-Methionine,_2TMS_derivative"	"L-5-Oxoproline,_,_2TMS_derivative"	"4-Pyrimidinamine,_N-(trimethylsilyl)-2-[(trimethylsilyl)oxy]-"	"4-Aminobutanoic_acid,_3TMS_derivative"	"L-Hydroxyproline,_(E)-,_3TMS_derivative_2"	"DL-Phenylalanine,_TMS_derivative"	"2,3,4-Trihydroxybutyric_acid_tetrakis(trimethylsilyl)_deriv.,_(,_(R*,R*)-)_2"	"Pentanedioic_acid_3,_2-[(trimethylsilyl)oxy]-,_bis(trimethylsilyl)_ester"	"2-Aminoadipic_acid,_3TMS_derivative"	"3-Phenyllactic_acid,_2TMS_derivative"	"2-Aminooctanoic_acid,_2TMS_derivative"	"L-Glutamic_acid,_3TMS_derivative"	"L-Phenylalanine,_2TMS_derivative"	"2-Aminoheptanedioic_acid,_3TMS_derivative"	"d-Ribose,_2,3,4,5-tetrakis-O-(trimethylsilyl)-,_O-methyloxime_1"	Unknown_15_17	"Asparagine,_3TMS_derivative"	"d-Ribose,_2,3,4,5-tetrakis-O-(trimethylsilyl)-,_O-methyloxime_2"	"Xylitol,_5TMS_derivative"	"Putrescine,_4TMS_derivative"	"5(10H)-Pyrido[3,4-b]quinolone,_7-methoxy-"	"Phosphoric_acid,_bis(trimethylsilyl)_2,3-bis[(trimethylsilyl)oxy]propyl_ester"	"Myo-Inositol,_6TMS_derivative_isomer_1"	"Terephthalic_acid,_2TMS_derivative"	"D-Pinitol,_pentakis(trimethylsilyl)_ether"	"9H-Purin-6-ol,_2TMS_derivative"	"L-Ornithine,_4TMS_derivative"	"Citric_acid,_4TMS_derivative"	Unknown_19_62	"D-Fructose,_1,3,4,5,6-pentakis-O-(trimethylsilyl)-,_O-methyloxime_-_isomer_2"	"Adenine,_2TMS_derivative"	"D-(-)-Fructose,_pentakis(trimethylsilyl)_ether,_methyloxime_(syn)"	"d-Mannose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)-"	"D-(+)-Gluconolactone,_4TMS_derivative"	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)_13C"	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)-"	"4-Hydroxyphenyllactic_acid,_3TMS_derivative"	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1E)-_13C"	"D-Allose,_pentakis(trimethylsilyl)_ether,_methyloxime_(anti)"	"Cadaverine,_4TMS_derivative"	"L-Lysine,_4TMS_derivative"	"D-Glucitol,_6TMS_derivative"	"L-Tyrosine,_3TMS_derivative"	"1,2,3,4,5,6-Hexa-O-trimethelsilyl-myo-inositol"	"D-Gluconic_acid,_6TMS_derivative"	"Muco-Inositol,_6TMS_derivative"	Unknown_22_95	"Glucose,_5TMS_derivative_13C"	"Glucose,_5TMS_derivative"	"Palmitic_Acid,_TMS_derivative"	"Myo-Inositol,_6TMS_derivative_isomer_2"	"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine"	"Indole-3-lactic_acid,_3TMS_derivative"	"L-Tryptophan,_3TMS_derivative"	"Oleic_Acid,_(Z)-,_TMS_derivative"	Sugar_phosphate_26_68	"Stearic_acid,_TMS_derivative"	"Tranexamic_acid,_3TMS_derivative"	"6-(2-Aminophenyl)-1,2,4-triazine-3,5(2H,4H)-dione_tetratms"	"Xanthine,_3TMS_derivative"	"D-Glycero-D-gulo-Heptose,_2,3,4,5,6,7-hexakis-O-(trimethylsilyl)-,_O-methyloxime_2"	"Uridine,_3TMS_derivative"	"Inosine,_4TMS_derivative"	"Sucrose,_8TMS_derivative"	"Adenosine,_4TMS_derivative"	Unknown_30_30	"Maltose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	"Lactose,_8TMS_derivative"	"D-(+)-Turanose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_2)"	"Guanosine,_5TMS_derivative"	"2-.alpha.-Mannobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	".beta.-Gentiobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	"D-(+)-Cellobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	L_Norvaline
183_T0_1	183_T0	210456	645015	44766	1185	31290	44361	31888	72	57738	529169	73	109	990	457805	741919	284941	61809	7685701	3004	4326	181236	25483	8488	10387	64175	18618	295	2673	479	838	1203	2070	1267	3274	6725	121769	84567	444852	166	19907	5099	1402	1091	710	3433	193	2217	376223	307311	3551	1287	2976	2958	747	4897	3433	25527	3591	10241	4998	11202	3211	398	11476	13460	1350756	5530	998595	24419	27600	473001	2000116	55	93965	403314	12494	31197	27251	189451	29153	156175	4008	1132	14034	42721	13147	57230	1058	51	72513	1305	297	15445	14329	2729	3190	132	2731	4381	25141	11997	3273	75987	895261	6754	7603	15633	6395	2569	6320126
183_T0_2	183_T0	191833	433519	42388	1287	21655	32408	28439	48	54001	386530	55	130	959	327692	438625	201881	39399	6143645	1948	2592	116627	25924	2267	6065	41533	10274	237	1613	255	629	313	1069	619	1790	2978	74996	56090	257950	32	11844	1547	920	518	396	1166	266	477	236615	217003	1193	829	4133	1736	383	2475	2630	11838	1542	4933	7518	5621	1363	198	5161	7311	812810	2332	587102	13642	15406	337831	1215800	88	59983	219981	6517	19203	14556	107276	16259	81278	2281	556	4874	12913	11112	32990	457	36	28067	876	118	12957	5268	1207	741	102	1631	1832	11226	4083	1587	32355	587169	1639	2378	6266	2040	12	5127112
183_T0_3	183_T0	253797	739157	49811	1367	24047	30643	34939	170	59875	540359	63	162	1173	422843	710746	311627	67002	6953966	2482	4363	178085	30175	10028	9994	62503	16488	371	2471	481	791	1037	1784	911	2140	10188	107099	74410	438450	186	21949	4619	1422	670	619	3164	504	2214	364666	285751	3319	1491	2292	2521	1139	3785	3314	24317	2800	8383	4006	9307	3041	251	9184	12883	1243729	5434	877518	11691	21481	443417	1767362	175	81027	329054	14118	33341	21155	181055	22613	116077	3164	961	14062	40758	13004	48550	958	89	51424	1390	352	14366	12228	1844	1831	178	2302	3717	15520	9859	3264	805318	805970	5331	5544	10816	3862	1317	5986340
183_T0_4	183_T0	263802	894459	60218	1444	28663	40066	33775	278	57739	634462	74	175	1332	511100	916716	484868	85849	8111896	3575	6171	281269	29833	43943	13116	96592	24961	768	3563	351	1587	3419	2826	1301	3522	14486	195876	99474	693360	286	30294	21621	2737	1151	981	10516	734	8419	500283	360244	10966	2281	4327	7763	1868	6020	6050	41192	7892	12435	6889	13272	5504	890	15276	19733	1653795	8731	1172016	17713	32043	599052	2320913	211	115829	464007	20730	89217	31870	266405	34103	178173	5216	1650	26900	77312	15918	76333	1813	54	93256	1963	1018	18475	25416	4630	5697	299	4218	7068	34385	19412	3877	1138938	1145883	10732	12066	19818	8907	3071	6727806
183_T0_5	183_T0	212412	573604	46207	1480	28425	40935	30347	64	54436	484877	56	158	1073	417775	599096	257203	51438	7340261	2658	3842	159570	26517	10842	8716	56639	15940	361	2184	413	773	1507	1730	998	2657	4830	105659	76435	401413	177	16516	6751	1282	805	630	4587	465	2651	323909	279476	5121	1258	5666	2493	592	3391	3191	21849	2773	7740	5768	8245	2754	319	8639	11323	1074493	4095	793686	20772	21098	422414	1603225	107	81381	313692	10698	27661	20954	163834	22746	119520	3153	904	12433	35476	13108	47068	1039	85	58039	1410	235	15615	11613	2276	2157	40	2390	3681	27295	9147	2400	58162	797882	4479	5650	10739	4207	101	5889914
184_T0_1	184_T0	227137	644522	45951	1162	31312	44560	31251	23	56859	543237	60	157	1046	482909	671021	284647	64798	7682422	3116	4202	180841	25045	8446	9828	65089	17663	333	2717	455	837	1213	1960	1105	2938	6631	121706	87509	442586	181	18783	5166	1352	955	681	3906	345	2155	378857	313550	4034	1339	2419	2911	640	4242	3120	23859	3174	8925	4855	9773	3191	326	10333	13391	1179097	4429	872945	24806	24152	458485	1780323	83	89153	356340	12345	31648	24004	189247	25732	136383	3755	1111	12972	36689	14644	54549	1124	102	70720	1332	337	15632	13231	2757	2687	38	2624	4569	22004	11412	3148	53363	906205	6384	7170	13223	5193	2586	6308861
184_T0_2	184_T0	208666	568823	40379	1110	27071	38496	29673	86	53295	495920	65	121	1042	433983	590668	250539	55258	7313225	2595	3782	155451	25468	11797	8531	55688	15877	362	2308	409	635	1614	1596	925	2631	6747	102861	78300	391418	126	16351	7506	1283	848	571	5069	316	2859	311753	286235	5354	1175	4096	2241	548	3516	2903	21818	2590	7304	4307	8440	2495	271	8329	10852	1065275	4700	783811	19294	21108	412696	1594499	71	78275	306161	4643	25884	20122	161260	21971	114319	3037	828	12549	35443	12436	46073	909	46	59369	1128	179	14882	10833	2270	2081	86	2452	3570	18064	9112	2177	54409	794411	4971	5579	10827	4156	1994	5959259
184_T0_3	184_T0	249001	746395	52449	1537	24062	30451	33813	151	57657	549185	82	183	934	440271	727755	321963	70705	7372940	2640	4186	183323	31065	11787	9856	63692	17031	358	2532	491	803	1157	1796	942	2395	11910	113418	77465	458939	139	22601	6041	1635	693	634	3156	356	2411	374557	289210	3221	1411	3273	2747	1125	3999	3553	25915	2894	8867	5481	10060	3174	276	9660	12354	1278919	5408	902360	12870	22615	467404	1814822	36	85824	341060	14633	36382	22318	187511	23963	120505	3325	965	15849	45520	13869	50951	1031	69	54575	1459	255	15371	13629	1937	2034	209	3067	3825	16826	10050	2821	785129	812472	5911	5730	11395	4113	12	6253589
184_T0_4	184_T0	264283	848253	51122	3288	26956	34895	35535	131	60602	614823	61	158	1289	512323	830085	406319	578518	8094358	3017	4973	227227	29449	18759	11534	78558	19644	458	2987	620	1127	1981	2219	1052	2716	13154	151423	93843	550341	194	25769	9913	2015	894	777	6511	488	4315	435404	331288	6589	1673	3173	4865	1289	4834	4557	30767	4620	10160	5279	11090	4134	520	11765	16034	1408456	5150	992968	14941	25488	501203	1957690	148	94781	384285	18292	55851	25328	220980	27215	139171	3939	1153	19538	56606	13217	59972	1141	12	72336	1540	537	15406	17731	2631	2930	186	2935	5174	20218	14182	3515	891913	924290	6918	7956	14671	5758	1941	6818321
184_T0_5	184_T0	270178	915019	47500	1551	28327	36593	33955	232	58114	674099	69	172	1288	559395	909384	435008	85165	8592905	3270	5516	249805	30654	24092	12769	85943	22207	633	3259	674	1215	2038	2576	1155	3125	13925	166731	103732	626902	230	28703	12596	2383	966	822	6867	479	4876	478530	368527	7031	1853	4605	4964	1541	5209	4785	36353	5278	11597	7660	12738	4440	495	13487	17975	1554211	7567	1091525	16272	28652	553165	2174442	209	105256	424180	20432	58566	28110	249164	30707	158793	4510	1398	23751	68115	14645	67317	1434	18	86009	1457	565	16592	21318	3246	3591	345	3503	5892	22776	15867	3980	64177	1011721	7212	9454	16639	6594	65	7246714
