Copy_number	DV	group
159298439.3	Lhel	0
159298439.3	Lhel	0
159298439.3	Lhel	0
159298439.3	Lhel	0
159298439.3	Lhel	0
56083279.67	Lhel	8
69064298.14	Lhel	8
68930503.96	Lhel	8
65463574.49	Lhel	8
65745446.61	Lhel	8
130895782.1	Lhel	16
84592477.94	Lhel	16
87058010.68	Lhel	16
143343356.2	Lhel	16
96874865.49	Lhel	16
364392415.3	Lhel	24
408860426	Lhel	24
344149950.5	Lhel	24
391050528.7	Lhel	24
435141070.5	Lhel	24
63840836.27	Lmel	0
63840836.27	Lmel	0
63840836.27	Lmel	0
63840836.27	Lmel	0
63840836.27	Lmel	0
34712816.42	Lmel	8
37058210.55	Lmel	8
42410343.06	Lmel	8
40496242.19	Lmel	8
21904299.03	Lmel	8
254192930.4	Lmel	16
229405847.6	Lmel	16
314954947.5	Lmel	16
219894949.2	Lmel	16
383162770.4	Lmel	16
1205835773	Lmel	24
1416824444	Lmel	24
976468687.5	Lmel	24
706556011	Lmel	24
1192342891	Lmel	24
58318672.7	Lapi	0
58318672.7	Lapi	0
58318672.7	Lapi	0
58318672.7	Lapi	0
58318672.7	Lapi	0
67761731.36	Lapi	8
140103706.7	Lapi	8
142004106.9	Lapi	8
129343946.4	Lapi	8
66554677.84	Lapi	8
189748143.6	Lapi	16
187980224.5	Lapi	16
164345041.9	Lapi	16
230125268	Lapi	16
273545639.4	Lapi	16
734389190.2	Lapi	24
757580437.7	Lapi	24
554970999.9	Lapi	24
585364690	Lapi	24
849608517.3	Lapi	24
19647378.55	Lkul	0
19647378.55	Lkul	0
19647378.55	Lkul	0
19647378.55	Lkul	0
19647378.55	Lkul	0
76973563.11	Lkul	8
102149461.1	Lkul	8
99061014.38	Lkul	8
111741081.2	Lkul	8
130635849.3	Lkul	8
322027369.5	Lkul	16
333380601.2	Lkul	16
344470992.5	Lkul	16
292975392.1	Lkul	16
278723492.7	Lkul	16
284898681.4	Lkul	24
292074099.8	Lkul	24
275631442.2	Lkul	24
248454754.7	Lkul	24
277601715.3	Lkul	24
