species	metabolite	log2FC	SE	time
Lapi	"Lactic_Acid,_2TMS_derivative"	-0.090183203	0.318021029	t0
Lapi	"L-Alanine,_2TMS_derivative"	-0.061189648	0.594189777	t0
Lapi	1-(Trimethylsilyl)-3-[(trimethylsilyl)oxy]urea	-0.101346809	0.176925443	t0
Lapi	"3-Methyl-2-butenoic_acid,_morpholide"	-0.066802609	0.754429949	t0
Lapi	"Silanol,_trimethyl-,_carbonate_(2:1)"	-0.090966387	0.312577078	t0
Lapi	"Pentasiloxane,_dodecamethyl-"	-0.042280457	0.432601121	t0
Lapi	"1,4-Butanediol,_2TMS_derivative"	-0.095584577	0.252591201	t0
Lapi	Creatinine	-0.131597198	1.485462608	t0
Lapi	"Ethanol,_2-(methylamino)-,_N-trifluoroacetyl,_O-(tert-butyldimethylsilyl)"	-0.096651528	0.202694373	t0
Lapi	"L-Valine,_2TMS_derivative"	-0.053828869	0.465086115	t0
Lapi	"Ethylphosphonic_acid,_2TMS_derivative"	-0.109406608	0.229093944	t0
Lapi	"Pentanoic_acid,_3-methyl-2-[(trimethylsilyl)oxy]-,_trimethylsilyl_ester"	-0.07319063	0.622623907	t0
Lapi	"Benzoic_Acid,_TMS_derivative"	-0.087946837	0.302129642	t0
Lapi	"L-Isoleucine,_2TMS_derivative"	-0.049672128	0.440387787	t0
Lapi	"L-Proline,_2TMS_derivative"	-0.081374861	0.501565405	t0
Lapi	"Glycine,_3TMS_derivative"	-0.063510011	0.612760463	t0
Lapi	"Butanedioic_acid,_2TMS_derivative"	-0.081962429	0.461188017	t0
Lapi	"L-Leucine,_2TMS_derivative"	-0.050663515	0.396782149	t0
Lapi	"Glyceric_acid,_3TMS_derivative"	-0.086114828	0.370333615	t0
Lapi	"Uracil,_2TMS_derivative"	-0.066910857	0.564369475	t0
Lapi	"Serine,_3TMS_derivative"	-0.077140346	0.51916445	t0
Lapi	"8,10-Dioxaheptadecane"	-0.056675522	0.405646744	t0
Lapi	Unknown_7_02	-0.022459356	1.484018018	t0
Lapi	"Pipecolic_acid,_2TMS_derivative"	-0.063837889	0.567293611	t0
Lapi	"L-Threonine,_3TMS_derivative"	-0.078009914	0.497065443	t0
Lapi	"3-Methylpiperazine-2,5-dione,_(R)-,_2TMS_derivative"	-0.058632928	0.533911235	t0
Lapi	"Pyrimidine,_5-methyl-2,4-bis[(trimethylsilyl)oxy]-"	-0.060581593	0.825946855	t0
Lapi	"Butanoic_acid,_2,4-bis[(trimethylsilyl)oxy]-,_trimethylsilyl_ester"	-0.068689944	0.565665781	t0
Lapi	".beta.-Alanine,_3TMS_derivative"	-0.076340116	0.546601747	t0
Lapi	"3-Amino-2-piperidone,_2TMS_derivative"	-0.047664813	0.381270341	t0
Lapi	Unknown_9_81	-0.037284905	1.155348265	t0
Lapi	"Malic_acid,_3TMS_derivative"	-0.066337848	0.550338826	t0
Lapi	"Erythritol_2,_4TMS_derivative"	-0.082136722	0.442104437	t0
Lapi	"Tromethamine,_4TMS_derivative"	-0.060981723	0.451437685	t0
Lapi	"Pyroglutamic_acid,_TMS_derivative"	-0.074328288	1.124053722	t0
Lapi	"L-Aspartic_acid,_3TMS_derivative"	-0.063042622	0.544528972	t0
Lapi	"L-Methionine,_2TMS_derivative"	-0.087774048	0.348488718	t0
Lapi	"L-5-Oxoproline,_,_2TMS_derivative"	-0.062105107	0.592078377	t0
Lapi	"4-Pyrimidinamine,_N-(trimethylsilyl)-2-[(trimethylsilyl)oxy]-"	-0.082479196	0.448539208	t0
Lapi	"4-Aminobutanoic_acid,_3TMS_derivative"	-0.066454881	0.677750939	t0
Lapi	"L-Hydroxyproline,_(E)-,_3TMS_derivative_2"	-0.027018826	1.270463764	t0
Lapi	"DL-Phenylalanine,_TMS_derivative"	-0.067217729	0.686671249	t0
Lapi	"2,3,4-Trihydroxybutyric_acid_tetrakis(trimethylsilyl)_deriv.,_(,_(R*,R*)-)_2"	-0.081872279	0.42355322	t0
Lapi	"Pentanedioic_acid_3,_2-[(trimethylsilyl)oxy]-,_bis(trimethylsilyl)_ester"	-0.066911119	0.615471819	t0
Lapi	"2-Aminoadipic_acid,_3TMS_derivative"	-0.035844716	1.10411345	t0
Lapi	"3-Phenyllactic_acid,_2TMS_derivative"	-0.078243223	0.683676135	t0
Lapi	"2-Aminooctanoic_acid,_2TMS_derivative"	-0.027417643	1.424847638	t0
Lapi	"L-Glutamic_acid,_3TMS_derivative"	-0.057434645	0.517501391	t0
Lapi	"L-Phenylalanine,_2TMS_derivative"	-0.087723607	0.342594708	t0
Lapi	"2-Aminoheptanedioic_acid,_3TMS_derivative"	-0.108126816	1.032020024	t0
Lapi	"d-Ribose,_2,3,4,5-tetrakis-O-(trimethylsilyl)-,_O-methyloxime_1"	-0.070690611	0.648531966	t0
Lapi	Unknown_15_17	-0.020320704	0.347183682	t0
Lapi	"Asparagine,_3TMS_derivative"	-0.059482382	0.714597425	t0
Lapi	"d-Ribose,_2,3,4,5-tetrakis-O-(trimethylsilyl)-,_O-methyloxime_2"	-0.08881506	1.023869448	t0
Lapi	"Xylitol,_5TMS_derivative"	-0.076869574	0.55432753	t0
Lapi	"Putrescine,_4TMS_derivative"	-0.070008917	0.58179346	t0
Lapi	"5(10H)-Pyrido[3,4-b]quinolone,_7-methoxy-"	-0.071471201	0.684724255	t0
Lapi	"Phosphoric_acid,_bis(trimethylsilyl)_2,3-bis[(trimethylsilyl)oxy]propyl_ester"	-0.079330919	0.754428224	t0
Lapi	"Myo-Inositol,_6TMS_derivative_isomer_1"	-0.079662546	0.499800374	t0
Lapi	"Terephthalic_acid,_2TMS_derivative"	-0.022422866	0.360252313	t0
Lapi	"D-Pinitol,_pentakis(trimethylsilyl)_ether"	-0.077550224	0.536097882	t0
Lapi	"9H-Purin-6-ol,_2TMS_derivative"	-0.070323693	0.651096225	t0
Lapi	"L-Ornithine,_4TMS_derivative"	-0.062070993	0.613969289	t0
Lapi	"Citric_acid,_4TMS_derivative"	-0.06137658	0.566299265	t0
Lapi	Unknown_19_62	-0.076706642	0.609336726	t0
Lapi	"D-Fructose,_1,3,4,5,6-pentakis-O-(trimethylsilyl)-,_O-methyloxime_-_isomer_2"	-0.058805682	0.512113907	t0
Lapi	"Adenine,_2TMS_derivative"	-0.076527769	0.553666141	t0
Lapi	"D-(-)-Fructose,_pentakis(trimethylsilyl)_ether,_methyloxime_(syn)"	-0.056341116	0.494667985	t0
Lapi	"d-Mannose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)-"	-0.091822297	0.486683353	t0
Lapi	"D-(+)-Gluconolactone,_4TMS_derivative"	-0.056303773	0.471403004	t0
Lapi	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)_13C"	-0.082135823	0.406655067	t0
Lapi	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)-"	-0.055544706	0.463222545	t0
Lapi	"4-Hydroxyphenyllactic_acid,_3TMS_derivative"	-0.028030812	2.850440925	t0
Lapi	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1E)-_13C"	-0.05659739	0.487218577	t0
Lapi	"D-Allose,_pentakis(trimethylsilyl)_ether,_methyloxime_(anti)"	-0.080889055	0.442609043	t0
Lapi	"Cadaverine,_4TMS_derivative"	-0.04382597	0.853293259	t0
Lapi	"L-Lysine,_4TMS_derivative"	-0.057101282	0.779320134	t0
Lapi	"D-Glucitol,_6TMS_derivative"	-0.056523674	0.481775389	t0
Lapi	"L-Tyrosine,_3TMS_derivative"	-0.07869195	0.501834745	t0
Lapi	"1,2,3,4,5,6-Hexa-O-trimethelsilyl-myo-inositol"	-0.056497735	0.476082181	t0
Lapi	"D-Gluconic_acid,_6TMS_derivative"	-0.080596639	0.446131147	t0
Lapi	"Muco-Inositol,_6TMS_derivative"	-0.056957834	0.486666412	t0
Lapi	Unknown_22_95	-0.075257219	0.505730615	t0
Lapi	"Glucose,_5TMS_derivative_13C"	-0.088179574	0.920768554	t0
Lapi	"Glucose,_5TMS_derivative"	-0.058288169	0.943086044	t0
Lapi	"Palmitic_Acid,_TMS_derivative"	-0.05842942	0.380946703	t0
Lapi	"Myo-Inositol,_6TMS_derivative_isomer_2"	-0.0783162	0.473670689	t0
Lapi	"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine"	-0.07086683	0.527071971	t0
Lapi	"Indole-3-lactic_acid,_3TMS_derivative"	-0.067856565	1.605948844	t0
Lapi	"L-Tryptophan,_3TMS_derivative"	-0.058759791	0.543269584	t0
Lapi	"Oleic_Acid,_(Z)-,_TMS_derivative"	-0.08799705	0.311351073	t0
Lapi	Sugar_phosphate_26_68	-0.079841015	0.940053074	t0
Lapi	"Stearic_acid,_TMS_derivative"	-0.093030174	0.263257306	t0
Lapi	"Tranexamic_acid,_3TMS_derivative"	-0.071261954	0.753302647	t0
Lapi	"6-(2-Aminophenyl)-1,2,4-triazine-3,5(2H,4H)-dione_tetratms"	-0.070589221	0.604045786	t0
Lapi	"Xanthine,_3TMS_derivative"	-0.059742599	0.736513259	t0
Lapi	"D-Glycero-D-gulo-Heptose,_2,3,4,5,6,7-hexakis-O-(trimethylsilyl)-,_O-methyloxime_2"	-0.025529166	1.559720084	t0
Lapi	"Uridine,_3TMS_derivative"	-0.063459675	0.558905469	t0
Lapi	"Inosine,_4TMS_derivative"	-0.074928474	0.631384903	t0
Lapi	"Sucrose,_8TMS_derivative"	-0.062054514	0.505273347	t0
Lapi	"Adenosine,_4TMS_derivative"	-0.067820543	0.723421959	t0
Lapi	Unknown_30_30	-0.059691344	0.533662709	t0
Lapi	"Maltose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	-0.24068888	2.754972497	t0
