Target	Strain_ID	Ct	SD	Target_gene	Threshold	LOD_Cell	Primers	Sample_type	CopyNum
183	183_0h	13.66178226	0.08927092	183_pGEM	32.63802719	2000	0615/0616	DNA	159298439.3
183	183_PE4_16h	13.82226849	0.060212109	183_pGEM	32.63802719	2000	0615/0616	DNA	143343356.2
183	183_PE5_16h	14.41810131	0.074491642	183_pGEM	32.63802719	2000	0615/0616	DNA	96874865.49
183	183_PE4_8h	15.01409149	0.213890821	183_pGEM	32.63802719	2000	0615/0616	DNA	65463574.49
183	183_PE1_8h	15.24927235	0.096209817	183_pGEM	32.63802719	2000	0615/0616	DNA	56083279.67
183	183_PE2_8h	14.93266869	0.086012617	183_pGEM	32.63802719	2000	0615/0616	DNA	69064298.14
183	183_PE3_8h	14.93561745	0.227047428	183_pGEM	32.63802719	2000	0615/0616	DNA	68930503.96
183	183_PE1_16h	13.96040821	0.110526063	183_pGEM	32.63802719	2000	0615/0616	DNA	130895782.1
183	183_PE5_8h	15.00755787	0.165440634	183_pGEM	32.63802719	2000	0615/0616	DNA	65745446.61
183	183_PE5_24h	12.13367558	0.016502682	183_pGEM	32.63802719	2000	0615/0616	DNA	435141070.5
183	183_PE1_24h	12.40350151	0.031967543	183_pGEM	32.63802719	2000	0615/0616	DNA	364392415.3
183	183_PE2_24h	12.22840786	0.149322301	183_pGEM	32.63802719	2000	0615/0616	DNA	408860426
183	183_PE2_16h	14.62426567	0.079314299	183_pGEM	32.63802719	2000	0615/0616	DNA	84592477.94
183	183_PE3_16h	14.58057785	0.009385636	183_pGEM	32.63802719	2000	0615/0616	DNA	87058010.68
183	183_PE3_24h	12.49041367	0.054999329	183_pGEM	32.63802719	2000	0615/0616	DNA	344149950.5
183	183_PE4_24h	12.296134	0.03135182	183_pGEM	32.63802719	2000	0615/0616	DNA	391050528.7
184	184_PE2_8h	16.7961731	0.0507457	184_pGEM	28.74697876	20000	0617/0618	DNA	37058210.55
184	184_PE1_16h	14.31771755	0.048865993	184_pGEM	28.74697876	20000	0617/0618	DNA	254192930.4
184	184_0h	16.09611225	0.051902018	184_pGEM	28.74697876	20000	0617/0618	DNA	63840836.27
184	184_PE1_24h	12.31390667	0.08708705	184_pGEM	28.74697876	20000	0617/0618	DNA	1205835773
184	184_PE3_8h	16.62253952	0.052454222	184_pGEM	28.74697876	20000	0617/0618	DNA	42410343.06
184	184_PE2_16h	14.4497757	0.015509366	184_pGEM	28.74697876	20000	0617/0618	DNA	229405847.6
184	184_PE1_8h	16.88032532	0.020141473	184_pGEM	28.74697876	20000	0617/0618	DNA	34712816.42
184	184_PE5_24h	12.32839012	0.100302085	184_pGEM	28.74697876	20000	0617/0618	DNA	1192342891
184	184_PE4_16h	14.50427532	0.097554743	184_pGEM	28.74697876	20000	0617/0618	DNA	219894949.2
184	184_PE4_8h	16.68198204	0.042775057	184_pGEM	28.74697876	20000	0617/0618	DNA	40496242.19
184	184_PE5_8h	17.47294235	0.014311046	184_pGEM	28.74697876	20000	0617/0618	DNA	21904299.03
184	184_PE3_16h	14.04184437	0.077151507	184_pGEM	28.74697876	20000	0617/0618	DNA	314954947.5
184	184_PE5_16h	13.78953266	0.007637652	184_pGEM	28.74697876	20000	0617/0618	DNA	383162770.4
184	184_PE3_24h	12.58546734	0.075768948	184_pGEM	28.74697876	20000	0617/0618	DNA	976468687.5
184	184_PE4_24h	13.00189781	0.090870626	184_pGEM	28.74697876	20000	0617/0618	DNA	706556011
184	184_PE2_24h	12.10636711	0.00610691	184_pGEM	28.74697876	20000	0617/0618	DNA	1416824444
185	185_PE3_8h	13.53167248	0.031142812	185_pGEM	28.85674667	20000	0577/0578	DNA	142004106.9
185	185_PE2_8h	13.55158234	0.153360814	185_pGEM	28.85674667	20000	0577/0578	DNA	140103706.7
185	185_PE4_8h	13.66966629	0.022956207	185_pGEM	28.85674667	20000	0577/0578	DNA	129343946.4
185	185_0h	14.8467741	0.27179721	185_pGEM	28.85674667	20000	0577/0578	DNA	58318672.7
185	185_PE3_16h	13.31575489	0.121229537	185_pGEM	28.85674667	20000	0577/0578	DNA	164345041.9
185	185_PE2_24h	11.05751038	0.124784276	185_pGEM	28.85674667	20000	0577/0578	DNA	757580437.7
185	185_PE1_16h	13.10335827	0.098119669	185_pGEM	28.85674667	20000	0577/0578	DNA	189748143.6
185	185_PE2_16h	13.11719131	0.153076321	185_pGEM	28.85674667	20000	0577/0578	DNA	187980224.5
185	185_PE1_8h	14.625	0.043194789	185_pGEM	28.85674667	20000	0577/0578	DNA	67761731.36
185	185_PE1_24h	11.10345459	0.287477911	185_pGEM	28.85674667	20000	0577/0578	DNA	734389190.2
185	185_PE4_16h	12.81826115	0.1388634	185_pGEM	28.85674667	20000	0577/0578	DNA	230125268
185	185_PE3_24h	11.51740742	0.104088254	185_pGEM	28.85674667	20000	0577/0578	DNA	554970999.9
185	185_PE5_8h	14.65156078	0.038624201	185_pGEM	28.85674667	20000	0577/0578	DNA	66554677.84
185	185_PE5_24h	10.88809204	0.04439066	185_pGEM	28.85674667	20000	0577/0578	DNA	849608517.3
185	185_PE5_16h	12.56283951	0.039773181	185_pGEM	28.85674667	20000	0577/0578	DNA	273545639.4
185	185_PE4_24h	11.43861485	0.121140696	185_pGEM	28.85674667	20000	0577/0578	DNA	585364690
186	186_0h	17.89670372	0.131603971	186_pGEM	30.27470589	20000	0630/0631	DNA	19647378.55
186	186_PE4_8h	15.28403091	0.082597286	186_pGEM	30.27470589	20000	0630/0631	DNA	111741081.2
186	186_PE2_8h	15.41892624	0.020272531	186_pGEM	30.27470589	20000	0630/0631	DNA	102149461.1
186	186_PE3_8h	15.46507168	0.068947002	186_pGEM	30.27470589	20000	0630/0631	DNA	99061014.38
186	186_PE1_16h	13.6931181	0.078359202	186_pGEM	30.27470589	20000	0630/0631	DNA	322027369.5
186	186_PE5_8h	15.04920959	0.069375217	186_pGEM	30.27470589	20000	0630/0631	DNA	130635849.3
186	186_PE3_16h	13.59185219	0.080647491	186_pGEM	30.27470589	20000	0630/0631	DNA	344470992.5
186	186_PE4_16h	13.83522892	0.12886323	186_pGEM	30.27470589	20000	0630/0631	DNA	292975392.1
186	186_PE5_16h	13.91018391	0.074828759	186_pGEM	30.27470589	20000	0630/0631	DNA	278723492.7
186	186_PE2_16h	13.64103985	0.190987945	186_pGEM	30.27470589	20000	0630/0631	DNA	333380601.2
186	186_PE1_8h	15.84425354	0.059273094	186_pGEM	30.27470589	20000	0630/0631	DNA	76973563.11
186	186_PE1_24h	13.87724686	0.05923824	186_pGEM	30.27470589	20000	0630/0631	DNA	284898681.4
186	186_PE2_24h	13.83985996	0.118796758	186_pGEM	30.27470589	20000	0630/0631	DNA	292074099.8
186	186_PE3_24h	13.92695141	0.070736572	186_pGEM	30.27470589	20000	0630/0631	DNA	275631442.2
186	186_PE4_24h	14.08297443	0.091068104	186_pGEM	30.27470589	20000	0630/0631	DNA	248454754.7
186	186_PE5_24h	13.91624546	0.012812886	186_pGEM	30.27470589	20000	0630/0631	DNA	277601715.3
