Strain_ID,Target,Ct,SD
183_0h,183,13.66178226,0.08927092
184_0h,184,16.09611225,0.051902018
185_0h,185,14.8467741,0.27179721
186_0h,186,17.89670372,0.131603971
183_PE1_8h,183,15.24927235,0.096209817
183_PE2_8h,183,14.93266869,0.086012617
183_PE3_8h,183,14.93561745,0.227047428
183_PE4_8h,183,15.01409149,0.213890821
183_PE5_8h,183,15.00755787,0.165440634
184_PE1_8h,184,16.88032532,0.020141473
184_PE2_8h,184,16.7961731,0.0507457
184_PE3_8h,184,16.62253952,0.052454222
184_PE4_8h,184,16.68198204,0.042775057
184_PE5_8h,184,17.47294235,0.014311046
185_PE1_8h,185,14.625,0.043194789
185_PE2_8h,185,13.55158234,0.153360814
185_PE3_8h,185,13.53167248,0.031142812
185_PE4_8h,185,13.66966629,0.022956207
185_PE5_8h,185,14.65156078,0.038624201
186_PE1_8h,186,15.84425354,0.059273094
186_PE2_8h,186,15.41892624,0.020272531
186_PE3_8h,186,15.46507168,0.068947002
186_PE4_8h,186,15.28403091,0.082597286
186_PE5_8h,186,15.04920959,0.069375217
183_PE1_16h,183,13.96040821,0.110526063
183_PE2_16h,183,14.62426567,0.079314299
183_PE3_16h,183,14.58057785,0.009385636
183_PE4_16h,183,13.82226849,0.060212109
183_PE5_16h,183,14.41810131,0.074491642
184_PE1_16h,184,14.31771755,0.048865993
184_PE2_16h,184,14.4497757,0.015509366
184_PE3_16h,184,14.04184437,0.077151507
184_PE4_16h,184,14.50427532,0.097554743
184_PE5_16h,184,13.78953266,0.007637652
185_PE1_16h,185,13.10335827,0.098119669
185_PE2_16h,185,13.11719131,0.153076321
185_PE3_16h,185,13.31575489,0.121229537
185_PE4_16h,185,12.81826115,0.1388634
185_PE5_16h,185,12.56283951,0.039773181
186_PE1_16h,186,13.6931181,0.078359202
186_PE2_16h,186,13.64103985,0.190987945
186_PE3_16h,186,13.59185219,0.080647491
186_PE4_16h,186,13.83522892,0.12886323
186_PE5_16h,186,13.91018391,0.074828759
183_PE1_24h,183,12.40350151,0.031967543
183_PE2_24h,183,12.22840786,0.149322301
183_PE3_24h,183,12.49041367,0.054999329
183_PE4_24h,183,12.296134,0.03135182
183_PE5_24h,183,12.13367558,0.016502682
184_PE1_24h,184,12.31390667,0.08708705
184_PE2_24h,184,12.10636711,0.00610691
184_PE3_24h,184,12.58546734,0.075768948
184_PE4_24h,184,13.00189781,0.090870626
184_PE5_24h,184,12.32839012,0.100302085
185_PE1_24h,185,11.10345459,0.287477911
185_PE2_24h,185,11.05751038,0.124784276
185_PE3_24h,185,11.51740742,0.104088254
185_PE4_24h,185,11.43861485,0.121140696
185_PE5_24h,185,10.88809204,0.04439066
186_PE1_24h,186,13.87724686,0.05923824
186_PE2_24h,186,13.83985996,0.118796758
186_PE3_24h,186,13.92695141,0.070736572
186_PE4_24h,186,14.08297443,0.091068104
186_PE5_24h,186,13.91624546,0.012812886
